Title,Author,Date,ID,Article Link,Visualization Link,Plain Text,Highlight Data
How Brain Science Could Determine the Midterms,"Daniel Z. Lieberman, Michael E. Long",2018-11-04,100005,https://www.politico.com/magazine/story/2018/11/04/2018-elections-liberal-conservative-voting-brains-midterms-222186,https://s3-us-west-2.amazonaws.com/publiceditor.io/Articles/100005/D3MockData2.html,https://s3-us-west-2.amazonaws.com/publiceditor.io/Articles/100005/1005SSSArticle.txt,https://s3-us-west-2.amazonaws.com/publiceditor.io/Articles/100005/VisualizationData_1005.csv
Certain doctors are more likely to create opioid addicts. Understanding why is key to solving the crisis.,Julia Belluz,2017-02-16,17120,https://www.vox.com/science-and-health/2017/2/16/14622198/doctors-prescribe-opioids-varies-patients-hooked,https://s3-us-west-2.amazonaws.com/publiceditor.io/Articles/1712_Gold_Standard/D3MockData2.html,https://s3-us-west-2.amazonaws.com/publiceditor.io/Articles/1712_Gold_Standard/1712SSSArticle.txt,https://s3-us-west-2.amazonaws.com/publiceditor.io/Articles/1712_Gold_Standard/VisualizationData_1712.csv
Certain doctors are more likely to create opioid addicts. Understanding why is key to solving the crisis.,Julia Belluz,2017-02-16,1712,https://www.vox.com/science-and-health/2017/2/16/14622198/doctors-prescribe-opioids-varies-patients-hooked,https://s3-us-west-2.amazonaws.com/publiceditor.io/Articles/1712/D3.html,https://s3-us-west-2.amazonaws.com/publiceditor.io/Articles/1712/1712SSSArticle.txt,https://s3-us-west-2.amazonaws.com/publiceditor.io/Articles/1712/data1712.csv
"Autism Starts Months before Symptoms Appear, Study Shows",Karen Weintraub,2017-02-15,1721,https://www.scientificamerican.com/article/autism-starts-months-before-symptoms-appear-study-shows/,https://s3-us-west-2.amazonaws.com/publiceditor.io/Articles/1721/D3.html,https://s3-us-west-2.amazonaws.com/publiceditor.io/Articles/1721/1721SSSArticle.txt,https://s3-us-west-2.amazonaws.com/publiceditor.io/Articles/1721/data1721.csv
MRIs of astronauts prove that space messes with the human brain,Mike Wehner,2017-02-01,1737,https://bgr.com/2017/02/01/space-news-astronaut-brains/,https://s3-us-west-2.amazonaws.com/publiceditor.io/Articles/1737/D3.html,https://s3-us-west-2.amazonaws.com/publiceditor.io/Articles/1737/1737SSSArticle.txt,https://s3-us-west-2.amazonaws.com/publiceditor.io/Articles/1737/data1737.csv
